State,Region,Date,Year,Year_Label,Month,MedianHomeValue,MedianHouseholdIncome,PriceToIncomeRatio,AffordabilityCategory,SizeRank
Alabama,South,2000-01-31,2000,2000,1,99596.35,31445,3.167,5 - Affordable (Under 3.5x),23
Alabama,South,2000-02-29,2000,2000,2,99769.78,31445,3.173,5 - Affordable (Under 3.5x),23
Alabama,South,2000-03-31,2000,2000,3,99885.98,31445,3.177,5 - Affordable (Under 3.5x),23
Alabama,South,2000-04-30,2000,2000,4,100146.31,31445,3.185,5 - Affordable (Under 3.5x),23
Alabama,South,2000-05-31,2000,2000,5,100436.67,31445,3.194,5 - Affordable (Under 3.5x),23
Alabama,South,2000-06-30,2000,2000,6,100787.72,31445,3.205,5 - Affordable (Under 3.5x),23
Alabama,South,2000-07-31,2000,2000,7,101112.78,31445,3.216,5 - Affordable (Under 3.5x),23
Alabama,South,2000-08-31,2000,2000,8,101406.54,31445,3.225,5 - Affordable (Under 3.5x),23
Alabama,South,2000-09-30,2000,2000,9,101721.65,31445,3.235,5 - Affordable (Under 3.5x),23
Alabama,South,2000-10-31,2000,2000,10,102083.22,31445,3.246,5 - Affordable (Under 3.5x),23
Alabama,South,2000-11-30,2000,2000,11,102492.51,31445,3.259,5 - Affordable (Under 3.5x),23
Alabama,South,2000-12-31,2000,2000,12,102945.71,31445,3.274,5 - Affordable (Under 3.5x),23
Alabama,South,2001-01-31,2001,2001,1,103451.95,32549,3.178,5 - Affordable (Under 3.5x),23
Alabama,South,2001-02-28,2001,2001,2,103880.68,32549,3.192,5 - Affordable (Under 3.5x),23
Alabama,South,2001-03-31,2001,2001,3,104233.99,32549,3.202,5 - Affordable (Under 3.5x),23
Alabama,South,2001-04-30,2001,2001,4,104488.73,32549,3.21,5 - Affordable (Under 3.5x),23
Alabama,South,2001-05-31,2001,2001,5,104740.95,32549,3.218,5 - Affordable (Under 3.5x),23
Alabama,South,2001-06-30,2001,2001,6,105000.65,32549,3.226,5 - Affordable (Under 3.5x),23
Alabama,South,2001-07-31,2001,2001,7,105294.47,32549,3.235,5 - Affordable (Under 3.5x),23
Alabama,South,2001-08-31,2001,2001,8,105555.74,32549,3.243,5 - Affordable (Under 3.5x),23
Alabama,South,2001-09-30,2001,2001,9,105849.3,32549,3.252,5 - Affordable (Under 3.5x),23
Alabama,South,2001-10-31,2001,2001,10,106186.73,32549,3.262,5 - Affordable (Under 3.5x),23
Alabama,South,2001-11-30,2001,2001,11,106517.59,32549,3.273,5 - Affordable (Under 3.5x),23
Alabama,South,2001-12-31,2001,2001,12,106763.36,32549,3.28,5 - Affordable (Under 3.5x),23
Alabama,South,2002-01-31,2002,2002,1,106908.54,34241,3.122,5 - Affordable (Under 3.5x),23
Alabama,South,2002-02-28,2002,2002,2,107065.34,34241,3.127,5 - Affordable (Under 3.5x),23
Alabama,South,2002-03-31,2002,2002,3,107197.41,34241,3.131,5 - Affordable (Under 3.5x),23
Alabama,South,2002-04-30,2002,2002,4,107346.94,34241,3.135,5 - Affordable (Under 3.5x),23
Alabama,South,2002-05-31,2002,2002,5,107537.3,34241,3.141,5 - Affordable (Under 3.5x),23
Alabama,South,2002-06-30,2002,2002,6,107774.18,34241,3.148,5 - Affordable (Under 3.5x),23
Alabama,South,2002-07-31,2002,2002,7,108049.53,34241,3.156,5 - Affordable (Under 3.5x),23
Alabama,South,2002-08-31,2002,2002,8,108297.07,34241,3.163,5 - Affordable (Under 3.5x),23
Alabama,South,2002-09-30,2002,2002,9,108559.85,34241,3.17,5 - Affordable (Under 3.5x),23
Alabama,South,2002-10-31,2002,2002,10,108822.46,34241,3.178,5 - Affordable (Under 3.5x),23
Alabama,South,2002-11-30,2002,2002,11,109100.05,34241,3.186,5 - Affordable (Under 3.5x),23
Alabama,South,2002-12-31,2002,2002,12,109382.95,34241,3.195,5 - Affordable (Under 3.5x),23
Alabama,South,2003-01-31,2003,2003,1,109628.78,34798,3.15,5 - Affordable (Under 3.5x),23
Alabama,South,2003-02-28,2003,2003,2,109906.07,34798,3.158,5 - Affordable (Under 3.5x),23
Alabama,South,2003-03-31,2003,2003,3,110190.27,34798,3.167,5 - Affordable (Under 3.5x),23
Alabama,South,2003-04-30,2003,2003,4,110541.22,34798,3.177,5 - Affordable (Under 3.5x),23
Alabama,South,2003-05-31,2003,2003,5,110853.57,34798,3.186,5 - Affordable (Under 3.5x),23
Alabama,South,2003-06-30,2003,2003,6,111136.53,34798,3.194,5 - Affordable (Under 3.5x),23
Alabama,South,2003-07-31,2003,2003,7,111404.68,34798,3.201,5 - Affordable (Under 3.5x),23
Alabama,South,2003-08-31,2003,2003,8,111693.56,34798,3.21,5 - Affordable (Under 3.5x),23
Alabama,South,2003-09-30,2003,2003,9,112007.25,34798,3.219,5 - Affordable (Under 3.5x),23
Alabama,South,2003-10-31,2003,2003,10,112285.7,34798,3.227,5 - Affordable (Under 3.5x),23
Alabama,South,2003-11-30,2003,2003,11,112567.17,34798,3.235,5 - Affordable (Under 3.5x),23
Alabama,South,2003-12-31,2003,2003,12,112828.68,34798,3.242,5 - Affordable (Under 3.5x),23
Alabama,South,2004-01-31,2004,2004,1,113100.01,36290,3.117,5 - Affordable (Under 3.5x),23
Alabama,South,2004-02-29,2004,2004,2,113357.64,36290,3.124,5 - Affordable (Under 3.5x),23
Alabama,South,2004-03-31,2004,2004,3,113646.2,36290,3.132,5 - Affordable (Under 3.5x),23
Alabama,South,2004-04-30,2004,2004,4,113940.99,36290,3.14,5 - Affordable (Under 3.5x),23
Alabama,South,2004-05-31,2004,2004,5,114304.52,36290,3.15,5 - Affordable (Under 3.5x),23
Alabama,South,2004-06-30,2004,2004,6,114759.6,36290,3.162,5 - Affordable (Under 3.5x),23
Alabama,South,2004-07-31,2004,2004,7,115301.77,36290,3.177,5 - Affordable (Under 3.5x),23
Alabama,South,2004-08-31,2004,2004,8,115817.55,36290,3.191,5 - Affordable (Under 3.5x),23
Alabama,South,2004-09-30,2004,2004,9,116290.98,36290,3.204,5 - Affordable (Under 3.5x),23
Alabama,South,2004-10-31,2004,2004,10,116777.99,36290,3.218,5 - Affordable (Under 3.5x),23
Alabama,South,2004-11-30,2004,2004,11,117357.66,36290,3.234,5 - Affordable (Under 3.5x),23
Alabama,South,2004-12-31,2004,2004,12,117983.87,36290,3.251,5 - Affordable (Under 3.5x),23
Alabama,South,2005-01-31,2005,2005,1,118521.95,37573,3.154,5 - Affordable (Under 3.5x),23
Alabama,South,2005-02-28,2005,2005,2,118945.24,37573,3.166,5 - Affordable (Under 3.5x),23
Alabama,South,2005-03-31,2005,2005,3,119263.21,37573,3.174,5 - Affordable (Under 3.5x),23
Alabama,South,2005-04-30,2005,2005,4,119587.62,37573,3.183,5 - Affordable (Under 3.5x),23
Alabama,South,2005-05-31,2005,2005,5,119941.74,37573,3.192,5 - Affordable (Under 3.5x),23
Alabama,South,2005-06-30,2005,2005,6,120377.68,37573,3.204,5 - Affordable (Under 3.5x),23
Alabama,South,2005-07-31,2005,2005,7,120879.94,37573,3.217,5 - Affordable (Under 3.5x),23
Alabama,South,2005-08-31,2005,2005,8,121409.84,37573,3.231,5 - Affordable (Under 3.5x),23
Alabama,South,2005-09-30,2005,2005,9,121956.93,37573,3.246,5 - Affordable (Under 3.5x),23
Alabama,South,2005-10-31,2005,2005,10,122600.38,37573,3.263,5 - Affordable (Under 3.5x),23
Alabama,South,2005-11-30,2005,2005,11,123396.51,37573,3.284,5 - Affordable (Under 3.5x),23
Alabama,South,2005-12-31,2005,2005,12,124279.0,37573,3.308,5 - Affordable (Under 3.5x),23
Alabama,South,2006-01-31,2006,2006,1,125176.82,38548,3.247,5 - Affordable (Under 3.5x),23
Alabama,South,2006-02-28,2006,2006,2,126069.29,38548,3.27,5 - Affordable (Under 3.5x),23
Alabama,South,2006-03-31,2006,2006,3,127054.29,38548,3.296,5 - Affordable (Under 3.5x),23
Alabama,South,2006-04-30,2006,2006,4,128099.2,38548,3.323,5 - Affordable (Under 3.5x),23
Alabama,South,2006-05-31,2006,2006,5,129132.71,38548,3.35,5 - Affordable (Under 3.5x),23
Alabama,South,2006-06-30,2006,2006,6,130122.54,38548,3.376,5 - Affordable (Under 3.5x),23
Alabama,South,2006-07-31,2006,2006,7,131043.24,38548,3.399,5 - Affordable (Under 3.5x),23
Alabama,South,2006-08-31,2006,2006,8,131992.52,38548,3.424,5 - Affordable (Under 3.5x),23
Alabama,South,2006-09-30,2006,2006,9,132819.93,38548,3.446,5 - Affordable (Under 3.5x),23
Alabama,South,2006-10-31,2006,2006,10,133555.48,38548,3.465,5 - Affordable (Under 3.5x),23
Alabama,South,2006-11-30,2006,2006,11,134014.15,38548,3.477,5 - Affordable (Under 3.5x),23
Alabama,South,2006-12-31,2006,2006,12,134362.08,38548,3.486,5 - Affordable (Under 3.5x),23
Alabama,South,2007-01-31,2007,2007,1,134560.81,39644,3.394,5 - Affordable (Under 3.5x),23
Alabama,South,2007-02-28,2007,2007,2,135007.63,39644,3.405,5 - Affordable (Under 3.5x),23
Alabama,South,2007-03-31,2007,2007,3,135553.22,39644,3.419,5 - Affordable (Under 3.5x),23
Alabama,South,2007-04-30,2007,2007,4,136253.62,39644,3.437,5 - Affordable (Under 3.5x),23
Alabama,South,2007-05-31,2007,2007,5,136677.56,39644,3.448,5 - Affordable (Under 3.5x),23
Alabama,South,2007-06-30,2007,2007,6,136956.43,39644,3.455,5 - Affordable (Under 3.5x),23
Alabama,South,2007-07-31,2007,2007,7,137049.98,39644,3.457,5 - Affordable (Under 3.5x),23
Alabama,South,2007-08-31,2007,2007,8,137175.7,39644,3.46,5 - Affordable (Under 3.5x),23
Alabama,South,2007-09-30,2007,2007,9,137276.28,39644,3.463,5 - Affordable (Under 3.5x),23
Alabama,South,2007-10-31,2007,2007,10,137365.49,39644,3.465,5 - Affordable (Under 3.5x),23
Alabama,South,2007-11-30,2007,2007,11,137352.81,39644,3.465,5 - Affordable (Under 3.5x),23
Alabama,South,2007-12-31,2007,2007,12,137256.98,39644,3.462,5 - Affordable (Under 3.5x),23
Alabama,South,2008-01-31,2008,2008,1,137048.88,40657,3.371,5 - Affordable (Under 3.5x),23
Alabama,South,2008-02-29,2008,2008,2,136836.86,40657,3.366,5 - Affordable (Under 3.5x),23
Alabama,South,2008-03-31,2008,2008,3,136592.54,40657,3.36,5 - Affordable (Under 3.5x),23
Alabama,South,2008-04-30,2008,2008,4,136409.2,40657,3.355,5 - Affordable (Under 3.5x),23
Alabama,South,2008-05-31,2008,2008,5,136291.32,40657,3.352,5 - Affordable (Under 3.5x),23
Alabama,South,2008-06-30,2008,2008,6,136275.31,40657,3.352,5 - Affordable (Under 3.5x),23
Alabama,South,2008-07-31,2008,2008,7,136222.66,40657,3.351,5 - Affordable (Under 3.5x),23
Alabama,South,2008-08-31,2008,2008,8,135983.74,40657,3.345,5 - Affordable (Under 3.5x),23
Alabama,South,2008-09-30,2008,2008,9,135692.61,40657,3.337,5 - Affordable (Under 3.5x),23
Alabama,South,2008-10-31,2008,2008,10,135280.65,40657,3.327,5 - Affordable (Under 3.5x),23
Alabama,South,2008-11-30,2008,2008,11,134927.69,40657,3.319,5 - Affordable (Under 3.5x),23
Alabama,South,2008-12-31,2008,2008,12,134411.58,40657,3.306,5 - Affordable (Under 3.5x),23
Alabama,South,2009-01-31,2009,2009,1,133978.37,40645,3.296,5 - Affordable (Under 3.5x),23
Alabama,South,2009-02-28,2009,2009,2,133483.93,40645,3.284,5 - Affordable (Under 3.5x),23
