State,Region,Year,Year_Label,MedianHomeValue,MedianHouseholdIncome,PriceToIncomeRatio,AffordabilityCategory
Alabama,South,2000,2000,101032,31445,3.21,5 - Affordable (Under 3.5x)
Alabama,South,2001,2001,105164,32549,3.23,5 - Affordable (Under 3.5x)
Alabama,South,2002,2002,108003,34241,3.15,5 - Affordable (Under 3.5x)
Alabama,South,2003,2003,111254,34798,3.2,5 - Affordable (Under 3.5x)
Alabama,South,2004,2004,115220,36290,3.18,5 - Affordable (Under 3.5x)
Alabama,South,2005,2005,120930,37573,3.22,5 - Affordable (Under 3.5x)
Alabama,South,2006,2006,130287,38548,3.38,5 - Affordable (Under 3.5x)
Alabama,South,2007,2007,136541,39644,3.44,5 - Affordable (Under 3.5x)
Alabama,South,2008,2008,135998,40657,3.35,5 - Affordable (Under 3.5x)
Alabama,South,2009,2009,130929,40645,3.22,5 - Affordable (Under 3.5x)
Alabama,South,2010,2010,125684,41670,3.02,5 - Affordable (Under 3.5x)
Alabama,South,2011,2011,119875,43180,2.78,5 - Affordable (Under 3.5x)
Alabama,South,2012,2012,121659,44419,2.74,5 - Affordable (Under 3.5x)
Alabama,South,2013,2013,128972,46596,2.77,5 - Affordable (Under 3.5x)
Alabama,South,2014,2014,133206,47801,2.79,5 - Affordable (Under 3.5x)
Alabama,South,2015,2015,135095,48614,2.78,5 - Affordable (Under 3.5x)
Alabama,South,2016,2016,139963,50006,2.8,5 - Affordable (Under 3.5x)
Alabama,South,2017,2017,144021,51068,2.82,5 - Affordable (Under 3.5x)
Alabama,South,2018,2018,149763,51993,2.88,5 - Affordable (Under 3.5x)
Alabama,South,2019,2019,158084,52913,2.99,5 - Affordable (Under 3.5x)
Alabama,South,2020,2020,170809,54233,3.15,5 - Affordable (Under 3.5x)
Alabama,South,2021,2021,194233,55295,3.51,4 - Borderline (3.5-4x)
Alabama,South,2022,2022,218555,56487,3.87,4 - Borderline (3.5-4x)
Alabama,South,2023,2023,224284,57450,3.9,4 - Borderline (3.5-4x)
