State,Region,Date,Year,Year_Label,Month,MedianHomeValue,SizeRank
Alabama,South,2000-01-31,2000,2000,1,99596.35,23
Alabama,South,2000-02-29,2000,2000,2,99769.78,23
Alabama,South,2000-03-31,2000,2000,3,99885.98,23
Alabama,South,2000-04-30,2000,2000,4,100146.31,23
Alabama,South,2000-05-31,2000,2000,5,100436.67,23
Alabama,South,2000-06-30,2000,2000,6,100787.72,23
Alabama,South,2000-07-31,2000,2000,7,101112.78,23
Alabama,South,2000-08-31,2000,2000,8,101406.54,23
Alabama,South,2000-09-30,2000,2000,9,101721.65,23
Alabama,South,2000-10-31,2000,2000,10,102083.22,23
Alabama,South,2000-11-30,2000,2000,11,102492.51,23
Alabama,South,2000-12-31,2000,2000,12,102945.71,23
Alabama,South,2001-01-31,2001,2001,1,103451.95,23
Alabama,South,2001-02-28,2001,2001,2,103880.68,23
Alabama,South,2001-03-31,2001,2001,3,104233.99,23
Alabama,South,2001-04-30,2001,2001,4,104488.73,23
Alabama,South,2001-05-31,2001,2001,5,104740.95,23
Alabama,South,2001-06-30,2001,2001,6,105000.65,23
Alabama,South,2001-07-31,2001,2001,7,105294.47,23
Alabama,South,2001-08-31,2001,2001,8,105555.74,23
Alabama,South,2001-09-30,2001,2001,9,105849.3,23
Alabama,South,2001-10-31,2001,2001,10,106186.73,23
Alabama,South,2001-11-30,2001,2001,11,106517.59,23
Alabama,South,2001-12-31,2001,2001,12,106763.36,23
Alabama,South,2002-01-31,2002,2002,1,106908.54,23
Alabama,South,2002-02-28,2002,2002,2,107065.34,23
Alabama,South,2002-03-31,2002,2002,3,107197.41,23
Alabama,South,2002-04-30,2002,2002,4,107346.94,23
Alabama,South,2002-05-31,2002,2002,5,107537.3,23
Alabama,South,2002-06-30,2002,2002,6,107774.18,23
Alabama,South,2002-07-31,2002,2002,7,108049.53,23
Alabama,South,2002-08-31,2002,2002,8,108297.07,23
Alabama,South,2002-09-30,2002,2002,9,108559.85,23
Alabama,South,2002-10-31,2002,2002,10,108822.46,23
Alabama,South,2002-11-30,2002,2002,11,109100.05,23
Alabama,South,2002-12-31,2002,2002,12,109382.95,23
Alabama,South,2003-01-31,2003,2003,1,109628.78,23
Alabama,South,2003-02-28,2003,2003,2,109906.07,23
