RegionName,Year,Home_price,MORTGAGE30US,Median_Income
Montana,2004,,5.839230769,44330
Vermont,2022,354476.182088338,5.344038462,74580
Alaska,2021,328181.437353243,2.957692308,70780
Idaho,2026,467599.02386942,6.084545455,
North Carolina,2010,158965.436031198,4.689807692,49280
Wyoming,2008,200925.536293179,6.027169811,50300
Maryland,2024,415165.726409402,6.721153846,83730
Oregon,2009,236042.681236532,5.036538462,49780
California,2007,462318.676425325,6.337307692,50230
New York,2014,263955.725623154,4.168867925,53660
North Carolina,2026,331231.373100596,6.084545455,
Tennessee,2008,149207.212464708,6.027169811,50300
Pennsylvania,2013,154216.46691312,3.975576923,53590
West Virginia,2015,106591.083093642,3.850576923,56520
Hawaii,2020,621825.585488001,3.111698113,68010
Iowa,2016,138513.740418216,3.654038462,59040
Wisconsin,2022,265957.543941362,5.344038462,74580
Louisiana,2010,161100.629021345,4.689807692,49280
Washington,2010,257270.009433171,4.689807692,49280
Maryland,2009,274922.892941002,5.036538462,49780
Tennessee,2021,254962.547458808,2.957692308,70780
Florida,2013,147776.485923983,3.975576923,53590
Wisconsin,2018,188773.376201401,4.544615385,63180
Georgia,2002,145469.4749945,6.537307692,42410
Louisiana,2023,212905.62355931,6.806730769,80610
Missouri,2012,120665.623891513,3.6575,51020
Mississippi,2019,142449.23956627,3.935769231,68700
Idaho,2000,123877.569512671,8.053461538,41990
Oklahoma,2025,212565.80930115,6.595094340,
Colorado,2014,256192.146581163,4.168867925,53660
Maryland,2010,259637.642254731,4.689807692,49280
Maryland,2000,153351.608391681,8.053461538,41990
Wisconsin,2019,200641.871794048,3.935769231,68700
Idaho,2020,312581.422779751,3.111698113,68010
Delaware,2004,207998.469053721,5.839230769,44330
Florida,2011,133014.398470393,4.447884615,50050
Kansas,2014,120010.995254115,4.168867925,53660
Illinois,2022,238759.318826371,5.344038462,74580
New York,2016,284748.581836557,3.654038462,59040
New York,2021,391937.545935101,2.957692308,70780
Hawaii,2005,389306.510098544,5.866730769,46330
Oregon,2002,164915.516933556,6.537307692,42410
Oregon,2015,258679.705701859,3.850576923,56520
Nebraska,2015,140641.280956865,3.850576923,56520
Iowa,2020,163809.38989044,3.111698113,68010
Pennsylvania,2001,105617.686925618,6.967884615,42230
West Virginia,2005,95864.922216027,5.866730769,46330
South Dakota,2012,148202.254916779,3.6575,51020
Virginia,2002,150636.176327393,6.537307692,42410
Ohio,2014,114512.551467719,4.168867925,53660
Oklahoma,2011,109851.233983028,4.447884615,50050
New Mexico,2012,161420.037094529,3.6575,51020
Washington,2020,427198.799362239,3.111698113,68010
Georgia,2006,166944.354659691,6.413269231,48200
Kansas,2017,136020.725328695,3.989807692,61140
North Dakota,2001,,6.967884615,42230
Wisconsin,2009,162751.470695921,5.036538462,49780
West Virginia,2011,98487.798047239,4.447884615,50050
Virginia,2006,263765.426058668,6.413269231,48200
Wyoming,2026,355181.666682015,6.084545455,
Nevada,2018,282534.883876218,4.544615385,63180
Tennessee,2019,201696.827947021,3.935769231,68700
Georgia,2016,165245.180940373,3.654038462,59040
Ohio,2007,127687.69803726,6.337307692,50230
Texas,2000,113588.188567078,8.053461538,41990
Nevada,2026,442708.554754012,6.084545455,
Washington,2019,392983.51575819,3.935769231,68700
Kentucky,2016,125139.709331402,3.654038462,59040
California,2017,476481.591448523,3.989807692,61140
Colorado,2001,206787.108411884,6.967884615,42230
Maryland,2008,313702.412655537,6.027169811,50300
Alabama,2018,149763.209092931,4.544615385,63180
Oklahoma,2000,84133.177323145,8.053461538,41990
Mississippi,2004,104038.32107375,5.839230769,44330
North Dakota,2011,162788.592706568,4.447884615,50050
Indiana,2021,190539.259583498,2.957692308,70780
Ohio,2001,109679.240729897,6.967884615,42230
Florida,2001,119459.973132679,6.967884615,42230
Colorado,2015,286712.602344569,3.850576923,56520
Florida,2025,381171.865627136,6.595094340,
Idaho,2004,141794.565289464,5.839230769,44330
Utah,2012,189837.544411284,3.6575,51020
Alaska,2012,248437.976074411,3.6575,51020
Mississippi,2010,116812.165460683,4.689807692,49280
Nebraska,2013,129987.65894849,3.975576923,53590
Montana,2023,425394.408223074,6.806730769,80610
Virginia,2009,225568.684610082,5.036538462,49780
Nebraska,2006,130509.193824419,6.413269231,48200
South Carolina,2024,298849.597162303,6.721153846,83730
Nevada,2015,209366.751309314,3.850576923,56520
Massachusetts,2019,419613.836753931,3.935769231,68700
Pennsylvania,2022,245049.094449348,5.344038462,74580
Michigan,2025,246896.194719422,6.595094340,
Colorado,2005,233428.77380898,5.866730769,46330
Illinois,2001,139872.46959413,6.967884615,42230
Missouri,2022,227800.552710655,5.344038462,74580
Arkansas,2021,179155.10357754,2.957692308,70780
Wyoming,2003,144091.028166334,5.826981132,43320
Connecticut,2002,197884.079534161,6.537307692,42410
Rhode Island,2026,487951.53950829,6.084545455,
Michigan,2018,154928.304605482,4.544615385,63180
Alaska,2005,208510.410260114,5.866730769,46330
Maryland,2007,340016.943236185,6.337307692,50230
South Carolina,2025,299373.851512301,6.595094340,
New Mexico,2022,276369.798283861,5.344038462,74580
Mississippi,2014,117718.125881857,4.168867925,53660
New Jersey,2024,521912.337098413,6.721153846,83730
Minnesota,2015,192146.796652278,3.850576923,56520
California,2003,294877.334594893,5.826981132,43320
Louisiana,2022,217619.982909256,5.344038462,74580
Wisconsin,2012,145400.681273366,3.6575,51020
Oklahoma,2008,111937.004654382,6.027169811,50300
Wyoming,2009,197579.65568733,5.036538462,49780
Alaska,2009,245078.638437102,5.036538462,49780
New Mexico,2007,190071.44784669,6.337307692,50230
Florida,2010,146401.552498518,4.689807692,49280
Utah,2017,282687.617451537,3.989807692,61140
Hawaii,2003,254951.824051282,5.826981132,43320
Minnesota,2018,234078.672742989,4.544615385,63180
California,2022,739682.409919217,5.344038462,74580
Oregon,2010,221969.543638549,4.689807692,49280
Wisconsin,2020,214271.573524109,3.111698113,68010
Minnesota,2005,203569.355113507,5.866730769,46330
Rhode Island,2012,208211.445322844,3.6575,51020
South Carolina,2003,128886.809364564,5.826981132,43320
Colorado,2022,550687.619889489,5.344038462,74580
Pennsylvania,2026,278081.155205581,6.084545455,
Montana,2009,186799.228243734,5.036538462,49780
Ohio,2019,148249.208819082,3.935769231,68700
Indiana,2016,127087.484549212,3.654038462,59040
Washington,2014,254039.064965955,4.168867925,53660
Louisiana,2006,153493.925678902,6.413269231,48200
Oklahoma,2021,169104.248852356,2.957692308,70780
Pennsylvania,2010,161381.36712488,4.689807692,49280
South Carolina,2008,162358.38581869,6.027169811,50300
Kentucky,2010,113745.686975925,4.689807692,49280
Alabama,2024,228289.443554841,6.721153846,83730
Vermont,2004,164381.242945879,5.839230769,44330
Arizona,2021,365920.435849054,2.957692308,70780
Oregon,2021,441227.223300299,2.957692308,70780
Oregon,2020,376712.627650806,3.111698113,68010
Vermont,2011,207275.4081979,4.447884615,50050
Montana,2003,,5.826981132,43320
Arizona,2006,281432.597836455,6.413269231,48200
Oklahoma,2007,110414.265449533,6.337307692,50230
Tennessee,2002,119985.530723574,6.537307692,42410
Massachusetts,2000,202552.722019877,8.053461538,41990
North Carolina,2016,170660.754624452,3.654038462,59040
Hawaii,2009,423142.8083727,5.036538462,49780
South Dakota,2006,136022.700302008,6.413269231,48200
Idaho,2016,202175.913316419,3.654038462,59040
Montana,2011,175354.454726611,4.447884615,50050
California,2000,197809.102023516,8.053461538,41990
Kansas,2010,118176.584098542,4.689807692,49280
Colorado,2017,348694.865751781,3.989807692,61140
Alaska,2007,240382.662223339,6.337307692,50230
Georgia,2007,171085.94275082,6.337307692,50230
Massachusetts,2026,641762.576221112,6.084545455,
Colorado,2010,223303.808579557,4.689807692,49280
District of Columbia,2017,521905.968196596,3.989807692,61140
Mississippi,2008,124056.091608399,6.027169811,50300
West Virginia,2004,88671.403101087,5.839230769,44330
Colorado,2019,392782.772799609,3.935769231,68700
Kentucky,2013,112328.857205202,3.975576923,53590
Nebraska,2024,257179.395498066,6.721153846,83730
Ohio,2010,114916.863683061,4.689807692,49280
Alaska,2000,135233.066963719,8.053461538,41990
Missouri,2019,164835.301667067,3.935769231,68700
California,2019,536967.654065625,3.935769231,68700
Idaho,2018,245968.291236721,4.544615385,63180
Colorado,2012,218104.160628337,3.6575,51020
Mississippi,2017,134374.505548584,3.989807692,61140
District of Columbia,2025,580335.701766491,6.595094340,
Nevada,2005,313183.856285416,5.866730769,46330
Mississippi,2025,188086.324528259,6.595094340,
Vermont,2008,214696.900515161,6.027169811,50300
New Hampshire,2016,234434.436131138,3.654038462,59040
North Dakota,2012,169683.786398061,3.6575,51020
Massachusetts,2002,266195.020687814,6.537307692,42410
Montana,2015,211054.913710034,3.850576923,56520
Connecticut,2008,284583.604486855,6.027169811,50300
Wyoming,2022,314760.520685105,5.344038462,74580
California,2015,412642.369629806,3.850576923,56520
Florida,2015,181100.034823748,3.850576923,56520
New Hampshire,2018,265987.828419064,4.544615385,63180
Arizona,2016,219546.278689462,3.654038462,59040
Wyoming,2016,227689.729850773,3.654038462,59040
Michigan,2022,221629.349425671,5.344038462,74580
Arizona,2020,295886.292385068,3.111698113,68010
South Carolina,2002,124958.391214953,6.537307692,42410
Kentucky,2024,217149.93155439,6.721153846,83730
California,2010,304768.705302025,4.689807692,49280
Colorado,2008,232391.324847014,6.027169811,50300
Arizona,2026,420719.982602081,6.084545455,
Kentucky,2004,105682.070044909,5.839230769,44330
Iowa,2024,213611.419487356,6.721153846,83730
Montana,2018,247047.485668289,4.544615385,63180
Texas,2023,305657.777541172,6.806730769,80610
Arizona,2019,269611.694690298,3.935769231,68700
Georgia,2025,330568.438427734,6.595094340,
Alaska,2008,245469.199866142,6.027169811,50300
Montana,2021,350653.981202207,2.957692308,70780
New York,2006,273645.51166191,6.413269231,48200
Rhode Island,2021,360208.041788154,2.957692308,70780
Pennsylvania,2008,167594.043310903,6.027169811,50300
Colorado,2002,218387.412920797,6.537307692,42410
Delaware,2021,319880.416295968,2.957692308,70780
Hawaii,2015,506023.120380596,3.850576923,56520
Vermont,2023,372944.514046654,6.806730769,80610
Kentucky,2023,207669.152569924,6.806730769,80610
Idaho,2015,186581.382122008,3.850576923,56520
West Virginia,2003,83418.480057003,5.826981132,43320
Indiana,2001,100171.24862391,6.967884615,42230
Oklahoma,2009,111678.205348554,5.036538462,49780
Vermont,2013,216884.005263337,3.975576923,53590
Arizona,2022,441928.483242579,5.344038462,74580
New Jersey,2013,275881.503648451,3.975576923,53590
Oregon,2017,319503.849176881,3.989807692,61140
Georgia,2024,334420.726969337,6.721153846,83730
Tennessee,2026,327438.564928735,6.084545455,
Hawaii,2024,837723.647893736,6.721153846,83730
Idaho,2003,135859.460617267,5.826981132,43320
South Dakota,2001,106760.908550725,6.967884615,42230
Tennessee,2004,127471.88520934,5.839230769,44330
Montana,2025,450338.996603249,6.595094340,
Maryland,2020,326901.710554232,3.111698113,68010
Alaska,2004,191189.095147167,5.839230769,44330
Minnesota,2016,204951.655072831,3.654038462,59040
New York,2020,353588.314120703,3.111698113,68010
New Hampshire,2005,246982.761833861,5.866730769,46330
Tennessee,2000,113067.194091918,8.053461538,41990
Michigan,2008,125941.960978331,6.027169811,50300
Wisconsin,2007,175404.567682842,6.337307692,50230
Massachusetts,2020,441124.230440567,3.111698113,68010
Washington,2026,592415.456283774,6.084545455,
Missouri,2015,133485.819886677,3.850576923,56520
Arizona,2004,177380.283919622,5.839230769,44330
Nebraska,2020,187858.272739995,3.111698113,68010
Maine,2016,191783.919018427,3.654038462,59040
California,2026,764858.740152606,6.084545455,
Tennessee,2010,140490.842186848,4.689807692,49280
Louisiana,2020,196270.393802626,3.111698113,68010
Pennsylvania,2006,162185.897553275,6.413269231,48200
Montana,2010,181166.916914812,4.689807692,49280
California,2005,435464.700558806,5.866730769,46330
Utah,2013,210132.379262895,3.975576923,53590
New Jersey,2001,191300.985685748,6.967884615,42230
Texas,2014,154498.566151378,4.168867925,53660
Ohio,2012,107578.641336459,3.6575,51020
Wyoming,2017,228522.029170089,3.989807692,61140
Washington,2022,577960.442648274,5.344038462,74580
Hawaii,2002,223904.375323127,6.537307692,42410
New Hampshire,2024,467902.978720958,6.721153846,83730
Kansas,2021,180922.008419904,2.957692308,70780
Connecticut,2017,242955.733910242,3.989807692,61140
Mississippi,2026,189165.230895906,6.084545455,
Oregon,2001,158217.068196178,6.967884615,42230
New Hampshire,2015,223757.79508048,3.850576923,56520
Iowa,2010,118303.575029083,4.689807692,49280
Minnesota,2013,170465.908853038,3.975576923,53590
Louisiana,2017,178579.436574957,3.989807692,61140
New York,2026,500980.305794635,6.084545455,
